Model,MAE,RMSE,R2,Dataset
Linear Regression,3.7390226228809813,6.000580293826576,-0.3682758747014274,Raw
Random Forest,3.2724877703348976,5.9032998470343685,-0.3242709513694553,Raw
XGBoost,3.2332161993686417,6.226336231243487,-0.4731680990383609,Raw
Linear Regression,0.6749440268569635,0.842161473345689,0.2203201182674741,Imputed
Random Forest,0.65952592190506,0.9208254702406102,0.06786195134730177,Imputed
XGBoost,0.9231430138576975,1.3632939468638106,-1.043170462731526,Imputed
