Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Do-Dodonpa,Fuji-Q Highland,Closed,S&S – Sansei Technologies,2001,35.4877,138.7823,Steel,2001-12-21,111.8,160.8,1,,
Kingda Ka,Six Flags Great Adventure,Operating,Intamin,2005,40.1392,-74.4365,Steel,2005-05-21,128.0,,0,,25000000.0
Formula Rossa,Ferrari World Abu Dhabi,Operating,Intamin,2010,24.4842,54.6124,Steel,2010-11-04,149.1,170.6,0,4.8,
Red Force (roller coaster),Ferrari Land,Operating,Intamin,2017,,,Steel,2017-04-07,111.8,367.5,0,,
Top Thrill Dragster,Cedar Point,Closed,Intamin,2003,41.484,-82.6862,Steel,2003-05-04,120.0,,0,,25000000.0
